user_id,total_deposit,total_withdrawal,deposit_count,withdrawal_count,total_games,loyalty_points,user_rank
193,430527.00,312000.00,136,7,1,5865.60,56
599,496800.00,175688.00,110,13,11,5848.74,57
202,400400.00,348129.00,29,9,3,5745.27,58
366,558053.00,0.00,99,0,114,5603.43,59
464,221000.00,648613.00,10,8,456,5544.27,60
508,355554.00,377000.00,35,17,214,5483.36,61
946,296990.00,424000.00,43,15,1715,5432.93,62
850,374400.00,335440.00,95,25,8,5422.87,63
97,467094.00,107000.00,229,14,720,5350.16,64
688,0.00,1049278.00,0,16,165,5279.39,65
871,523550.00,0.00,121,0,1,5235.82,66
765,0.00,31000.00,0,3,24803,5115.60,67
959,484700.00,50400.00,64,1,14,5101.86,68
82,98770.00,819460.00,10,40,3,5085.60,69
173,503900.00,0.00,54,0,4,5039.85,70
153,475663.00,42972.00,58,6,52,4981.94,71
890,440000.00,112096.00,7,4,92,4978.88,72
667,464067.00,47308.00,56,10,305,4938.26,73
540,255000.00,383569.00,4,6,2317,4931.25,74
854,433000.00,77971.00,27,11,1,4720.07,75
467,424300.00,68000.00,28,2,134,4609.83,76
618,280721.00,58500.00,143,5,7311,4562.05,77
146,351000.00,175500.00,24,5,528,4493.12,78
927,337148.00,180774.00,73,22,1061,4487.60,79
505,394000.00,5123.00,60,2,2370,4439.67,80
625,204900.00,468522.00,23,28,23,4396.21,81
941,192500.00,479303.00,14,14,291,4379.72,82
922,200000.00,353000.00,4,16,2933,4351.60,83
130,270400.00,325200.00,20,4,28,4335.62,84
407,259200.00,218600.00,43,28,2619,4208.82,85
901,369300.00,83000.00,60,1,196,4147.26,86
70,411560.00,0.00,70,0,2,4116.07,87
502,184600.00,266236.00,111,33,4638,4104.86,88
168,330700.00,96400.00,76,11,1377,4064.47,89
754,207500.00,158059.00,24,22,5864,4038.10,90
836,106000.00,493000.00,20,36,2507,4026.40,91
455,387500.00,0.00,43,0,385,3952.04,92
897,263700.00,260000.00,10,1,73,3951.61,93
372,320909.00,85500.00,37,6,1353,3907.22,94
962,320609.00,136916.00,20,11,8,3892.28,95
449,198730.00,106153.00,13,4,6455,3809.07,96
602,181000.00,232754.00,10,9,3776,3728.97,97
80,318501.00,100000.00,83,1,65,3698.09,98
651,355000.00,0.00,23,0,736,3697.22,99
289,234600.00,213000.00,93,17,1139,3638.88,100
785,0.00,704000.00,0,4,204,3560.80,101
880,130000.00,441000.00,4,7,188,3542.60,102
196,170000.00,353000.00,6,11,254,3515.80,103
9,193684.00,171456.00,109,9,3518,3497.82,104
869,279200.00,45000.00,27,1,2363,3489.63,105
708,347070.00,0.00,54,0,34,3477.55,106
653,190000.00,287167.00,13,12,706,3477.04,107
141,298250.00,59877.00,37,2,943,3470.52,108
565,159510.00,317936.00,70,34,1335,3451.82,109
448,109842.00,407599.00,27,27,1086,3353.62,110
240,291000.00,22100.00,23,3,1647,3349.92,111
386,330000.00,0.00,5,0,10,3302.01,112
772,321250.00,9800.00,12,1,114,3284.31,113
336,237400.00,175358.00,21,5,113,3273.41,114
526,325461.00,0.00,50,0,67,3268.06,115
471,85000.00,476616.00,3,19,138,3260.68,116
285,267652.00,105000.00,41,2,48,3211.16,117
439,227114.00,161957.00,21,4,346,3150.14,118
157,92600.00,433857.00,40,22,258,3146.90,119
279,309000.00,0.00,20,0,3,3090.62,120
774,110000.00,331000.00,2,6,1667,3088.40,121
884,55000.00,502191.00,2,14,112,3083.36,122
921,0.00,600000.00,0,2,18,3003.60,123
496,272200.00,9999.00,36,2,1076,2987.23,124
39,134500.00,151320.00,44,8,4412,2984.04,125
446,242000.00,98308.00,22,4,65,2924.56,126
299,216000.00,150000.00,57,7,1,2910.25,127
137,103000.00,228000.00,13,16,3625,2895.00,128
559,150000.00,238990.00,4,12,983,2891.55,129
985,186500.00,155000.00,71,19,909,2821.85,130
829,87500.00,376500.00,27,25,49,2767.30,131
85,206269.00,30250.00,94,3,2702,2754.43,132
945,211994.00,92286.00,29,4,802,2741.80,133
581,190000.00,101174.00,7,3,1628,2731.47,134
488,236790.00,51900.00,47,2,489,2725.25,135
181,210000.00,0.00,10,0,3082,2716.41,136
474,128089.00,281000.00,15,21,144,2714.69,137
637,174480.00,190200.00,109,19,5,2696.89,138
271,267000.00,0.00,15,0,31,2676.22,139
790,203200.00,118100.00,61,22,248,2672.14,140
557,240000.00,10000.00,60,1,965,2643.06,141
966,262400.00,0.00,9,0,73,2638.61,142
390,194315.00,137000.00,71,10,22,2632.61,143
764,262000.00,0.00,7,0,28,2625.61,144
27,133700.00,179581.00,24,2,1942,2623.33,145
911,247505.00,0.00,39,0,544,2583.89,146
257,224000.00,65000.00,24,2,12,2567.42,147
456,111000.00,65000.00,4,1,5574,2549.80,148
826,201000.00,46627.00,20,4,1470,2537.15,149
795,113150.00,252447.00,105,50,628,2519.39,150
707,129967.00,242000.00,11,3,5,2510.68,151
179,174000.00,122000.00,9,6,785,2507.00,152
100,249800.00,0.00,24,0,1,2498.22,153
636,231000.00,0.00,10,0,838,2477.61,154
852,18000.00,442930.00,3,86,329,2460.45,155
102,237250.00,8000.00,9,2,119,2436.31,156
126,242000.00,0.00,9,0,6,2421.21,157
673,231281.00,300.00,42,1,392,2392.75,158
296,91300.00,181246.00,62,19,2799,2379.07,159
142,0.00,471900.00,0,13,38,2367.10,160
373,157000.00,151100.00,20,10,206,2366.71,161
247,100000.00,0.00,20,0,6826,2365.22,162
828,140500.00,59495.00,31,7,3235,2349.50,163
426,229500.00,0.00,57,0,152,2325.46,164
604,195400.00,14000.00,80,3,1501,2324.28,165
341,226500.00,5500.00,47,1,142,2320.95,166
936,151000.00,153112.00,29,16,166,2308.77,167
542,107000.00,230705.00,5,7,356,2294.73,168
608,225000.00,0.00,35,0,195,2289.04,169
47,89200.00,257720.00,44,76,402,2261.00,170
940,138000.00,170000.00,3,2,48,2239.60,171
913,180000.00,84840.00,29,3,75,2239.23,172
798,211500.00,0.00,45,0,539,2222.85,173
845,8000.00,358310.00,2,14,1739,2219.35,174
788,129000.00,182313.00,16,7,43,2210.17,175
377,90000.00,170498.00,7,16,2246,2201.69,176
411,70500.00,290000.00,3,1,202,2195.40,177
340,217000.00,0.00,34,0,52,2180.43,178
112,146500.00,140775.00,11,8,3,2169.48,179
967,140000.00,148240.00,6,13,9,2143.00,180
214,112950.00,200000.00,19,1,60,2141.52,181
414,210000.00,0.00,8,0,10,2102.01,182
473,139990.00,120330.00,53,9,338,2069.19,183
628,165953.00,49290.00,42,7,806,2067.22,184
218,113750.00,25000.00,55,1,3945,2051.55,185
539,147678.00,107000.00,55,1,13,2014.43,186
159,139000.00,124637.00,19,12,1,2013.39,187
668,91037.00,165000.00,25,4,1190,1973.39,188
548,191020.00,10250.00,143,14,32,1967.98,189
735,190500.00,0.00,15,0,99,1924.82,190
23,22779.00,331000.00,26,6,207,1924.21,191
779,146787.00,47649.00,79,1,909,1887.99,192
722,116700.00,0.00,14,0,3439,1854.81,193
187,130500.00,99416.00,30,24,240,1850.09,194
710,85000.00,72500.00,3,2,3109,1834.30,195
987,69900.00,135650.00,30,23,2220,1821.26,196
422,65250.00,230800.00,12,16,1,1806.70,197
827,65000.00,227000.00,2,4,10,1787.00,198
114,83660.00,188500.00,17,15,29,1784.90,199
633,98200.00,143098.00,51,12,431,1783.73,200
541,159378.00,30700.00,17,8,51,1757.49,201
400,120100.00,106000.00,23,2,47,1740.42,202
517,105600.00,100544.00,12,10,848,1728.32,203
237,70000.00,70000.00,3,1,3384,1726.80,204
487,100000.00,105000.00,11,4,913,1707.61,205
493,124000.00,92600.00,8,2,5,1704.01,206
342,121335.00,55300.00,71,7,887,1667.31,207
699,96000.00,72110.00,27,10,1727,1665.97,208
866,139500.00,9842.00,7,1,1070,1658.22,209
804,154475.00,16706.00,23,5,63,1640.90,210
468,125000.00,74500.00,2,7,67,1635.90,211
149,162946.00,0.00,41,0,1,1629.70,212
242,105543.00,92324.00,26,3,557,1628.47,213
164,47000.00,229953.00,14,49,17,1623.17,214
840,152500.00,18500.00,22,1,20,1621.52,215
269,160400.00,0.00,18,0,37,1611.42,216
317,160395.00,0.00,15,0,31,1610.17,217
863,142100.00,35000.00,80,1,61,1608.28,218
380,108147.00,86000.00,94,16,466,1604.75,219
748,74500.00,75000.00,13,3,2408,1601.61,220
353,142000.00,35000.00,12,6,23,1599.61,221
658,142065.00,0.00,40,0,866,1593.89,222
178,120000.00,77683.00,7,2,7,1589.82,223
834,155645.00,0.00,24,0,32,1562.87,224
947,123600.00,65000.00,19,4,1,1561.22,225
677,123181.00,36000.00,35,4,701,1552.04,226
497,70918.00,153684.00,45,12,363,1550.23,227
476,135450.00,35000.00,16,1,37,1536.92,228
357,113896.00,70086.00,15,6,196,1528.60,229
272,0.00,189202.00,0,8,2909,1527.81,230
519,112152.00,0.00,57,0,2028,1527.18,231
408,128781.00,44000.00,39,2,1,1508.05,232
266,146100.00,0.00,27,0,215,1504.03,233
190,62600.00,165996.00,27,26,178,1491.58,234
46,146000.00,0.00,8,0,38,1467.61,235
745,65100.00,124000.00,44,2,939,1458.84,236
90,141700.00,0.00,51,0,201,1457.25,237
717,117400.00,42000.00,52,2,352,1454.45,238
370,103000.00,82953.00,12,5,27,1450.17,239
654,96166.00,52260.00,67,12,1034,1429.82,240
194,58200.00,106000.00,16,7,1501,1412.21,241
89,90000.00,0.00,9,0,2403,1380.61,242
739,87000.00,101500.00,8,3,9,1379.31,243
60,74000.00,126500.00,25,15,4,1373.31,244
140,110000.00,45000.00,11,4,210,1367.01,245
577,120703.00,19895.00,11,1,276,1361.72,246
930,75000.00,111500.00,3,4,174,1342.30,247
690,129050.00,9500.00,39,1,1,1338.24,248
354,108824.00,40000.00,15,1,198,1327.85,249
937,117000.00,25000.00,16,1,119,1318.82,250
803,131000.00,0.00,21,0,6,1311.22,251
424,115392.00,0.00,57,0,781,1310.18,252
833,129864.00,0.00,6,0,13,1301.25,253
436,89200.00,0.00,35,0,1893,1270.64,254
977,125620.00,0.00,19,0,21,1260.42,255
412,84300.00,68500.00,21,29,354,1256.30,256
560,117430.00,15594.00,61,2,6,1253.53,257
145,102388.00,44000.00,26,2,16,1247.10,258
45,53150.00,134000.00,32,9,226,1246.72,259
644,116651.00,0.00,120,0,353,1237.23,260
183,100450.00,28192.00,16,3,448,1235.07,261
229,121363.00,1565.00,12,1,13,1224.07,262
760,46650.00,151214.00,12,10,2,1222.97,263
888,49481.00,120678.00,24,36,602,1218.60,264
53,107000.00,0.00,19,0,649,1199.82,265
830,117900.00,0.00,11,0,65,1192.01,266
777,92450.00,16000.00,58,1,909,1186.36,267
802,80595.00,39000.00,17,1,918,1184.57,268
924,100500.00,34184.00,22,2,13,1178.54,269
409,108500.00,17709.00,23,2,18,1177.17,270
460,0.00,205000.00,0,2,710,1167.00,271
923,94000.00,0.00,14,0,1066,1153.21,272
931,92572.00,43950.00,51,3,7,1146.92,273
175,34000.00,160000.00,6,2,33,1146.60,274
304,109000.00,4000.00,14,1,182,1146.41,275
31,54849.00,78283.00,33,31,1023,1144.51,276
12,99403.00,20286.00,52,8,193,1134.10,277
204,76360.00,39616.00,42,6,852,1132.12,278
11,46300.00,101500.00,21,24,791,1128.70,279
310,63250.00,97528.00,11,3,27,1125.55,280
614,110585.00,3000.00,87,1,22,1125.34,281
963,104210.00,0.00,32,0,348,1111.73,282
477,83400.00,41900.00,12,4,340,1111.51,283
731,82540.00,54000.00,43,5,80,1111.44,284
104,77000.00,64000.00,9,3,55,1101.01,285
450,82885.00,36000.00,92,1,446,1098.14,286
514,103500.00,7000.00,61,1,75,1085.06,287
982,102238.00,0.00,71,0,262,1074.85,288
996,96400.00,0.00,31,0,483,1060.63,289
458,61000.00,0.00,69,0,2251,1060.27,290
235,105000.00,0.00,37,0,41,1058.24,291
586,90500.00,27000.00,38,3,82,1056.44,292
59,70000.00,67888.00,12,7,74,1054.25,293
639,54000.00,100000.00,16,1,29,1045.82,294
744,90313.00,4179.00,129,1,600,1044.15,295
972,68041.00,69501.00,135,29,19,1031.82,296
52,92060.00,9520.00,22,1,239,1016.02,297
583,82485.00,37715.00,11,4,11,1015.63,298
887,0.00,0.00,0,0,5060,1012.00,299
158,75580.00,50000.00,39,6,8,1007.43,300
853,96995.00,0.00,16,0,132,996.37,301
763,52350.00,68779.00,44,15,632,993.82,302
147,98000.00,0.00,10,0,37,987.41,303
510,96750.00,0.00,20,0,98,987.12,304
5,74100.00,32700.00,67,9,398,984.16,305
776,91567.00,9000.00,82,1,105,981.75,306
309,26250.00,91700.00,11,16,1302,981.40,307
305,51463.00,65000.00,39,2,696,978.87,308
433,21700.00,150000.00,4,3,14,969.80,309
81,95000.00,0.00,10,0,88,967.61,310
523,57000.00,73649.00,11,4,52,948.65,311
535,83124.00,0.00,24,0,530,937.26,312
246,57228.00,72500.00,57,10,6,936.03,313
356,91236.00,0.00,48,0,107,933.81,314
652,91800.00,0.00,11,0,72,932.41,315
990,0.00,0.00,0,0,4660,932.00,316
495,93000.00,0.00,4,0,5,931.00,317
861,2000.00,130000.00,1,2,1274,924.80,318
973,60500.00,25000.00,41,1,933,916.64,319
58,91154.00,0.00,68,0,19,915.41,320
107,44000.00,91900.00,19,13,49,909.31,321
295,90000.00,0.00,6,0,37,907.41,322
738,0.00,0.00,0,0,4526,905.20,323
371,81050.00,9900.00,17,1,225,905.02,324
646,55000.00,41984.00,4,2,681,896.12,325
821,87500.00,3000.00,17,1,11,892.22,326
258,66200.00,25200.00,31,5,515,891.03,327
974,88000.00,0.00,19,0,30,886.02,328
77,68200.00,15000.00,16,1,639,884.82,329
597,68000.00,25221.00,34,7,371,880.33,330
878,70000.00,29421.00,13,4,160,879.11,331
796,33800.00,104500.00,24,13,93,879.11,332
851,55800.00,29900.00,45,2,817,870.94,333
442,40000.00,46308.00,2,2,1169,865.34,334
747,85500.00,0.00,11,0,35,862.01,335
794,77900.00,0.00,11,0,406,860.21,336
693,30000.00,62527.00,5,2,1218,856.24,337
338,68839.00,20000.00,57,2,327,853.85,338
106,68922.00,32427.00,68,7,2,851.82,339
730,69350.00,0.00,9,0,780,849.51,340
504,0.00,168000.00,0,1,46,849.20,341
694,74585.00,11981.00,30,1,140,833.78,342
270,56800.00,30679.00,15,2,546,830.61,343
682,22000.00,121000.00,11,1,26,830.21,344
659,38000.00,41800.00,6,6,1202,829.40,345
292,16355.00,127735.00,11,17,8,803.83,346
437,55000.00,47147.00,2,1,87,803.14,347
537,60000.00,40000.00,5,1,13,802.60,348
101,60000.00,40000.00,3,1,12,802.40,349
518,24750.00,102978.00,48,44,159,794.19,350
588,70400.00,15000.00,21,1,72,793.42,351
980,33986.00,87900.00,65,36,64,792.19,352
582,0.00,0.00,0,0,3923,784.60,353
844,68500.00,0.00,127,0,461,777.33,354
843,10000.00,104500.00,1,9,749,772.30,355
991,76100.00,0.00,13,0,33,767.61,356
441,23000.00,106000.00,4,7,36,767.20,357
139,42793.00,30000.00,111,3,940,766.04,358
683,76200.00,0.00,7,0,2,762.41,359
389,48000.00,51981.00,12,2,105,760.92,360
201,51002.00,48184.00,6,6,25,755.94,361
223,75000.00,0.00,1,0,22,754.40,362
203,75000.00,0.00,3,0,3,750.60,363
810,75000.00,0.00,3,0,2,750.40,364
205,0.00,0.00,0,0,3748,749.60,365
418,20000.00,40000.00,2,2,1685,737.00,366
605,70050.00,0.00,49,0,163,733.15,367
613,69105.00,6735.00,78,1,31,731.00,368
445,61400.00,17754.00,30,3,135,729.80,369
253,44800.00,56069.00,6,1,4,729.15,370
929,61000.00,9636.00,15,1,346,727.39,371
303,52800.00,0.00,8,0,991,726.21,372
427,72000.00,0.00,6,0,9,721.81,373
461,55657.00,32800.00,31,5,4,721.40,374
63,63264.00,12000.00,5,1,142,721.04,375
709,56900.00,18179.00,6,1,297,719.30,376
727,70000.00,0.00,4,0,62,712.40,377
624,70000.00,0.00,2,0,44,708.80,378
300,0.00,90000.00,0,2,1283,706.60,379
452,59000.00,0.00,28,0,566,703.23,380
74,60000.00,13169.00,25,3,172,700.27,381
297,66500.00,0.00,19,0,120,689.02,382
751,55635.00,25303.00,11,4,21,687.07,383
805,22200.00,39468.00,5,4,1331,685.54,384
831,61456.00,0.00,106,0,354,685.47,385
902,20000.00,53500.00,7,7,1081,683.70,386
206,46600.00,0.00,11,0,1069,679.81,387
749,52000.00,30000.00,29,2,36,677.23,388
574,36150.00,54200.00,17,4,214,675.31,389
485,60000.00,10000.00,5,1,78,665.60,390
632,60400.00,0.00,54,0,249,653.85,391
889,32500.00,20900.00,16,4,1083,646.11,392
185,44000.00,37751.00,21,18,33,635.36,393
280,60834.00,0.00,94,0,122,632.83,394
657,46000.00,22824.00,3,6,293,632.72,395
713,35000.00,44000.00,3,4,311,632.20,396
21,62000.00,0.00,4,0,60,632.00,397
958,62830.00,0.00,14,0,11,630.51,398
32,59400.00,5791.00,13,2,29,628.77,399
553,26500.00,71500.00,28,9,17,625.92,400
961,60000.00,0.00,7,0,91,618.21,401
849,38310.00,13799.00,5,2,826,617.30,402
695,57624.00,0.00,73,0,202,616.71,403
520,61000.00,0.00,5,0,28,615.61,404
848,53450.00,16120.00,17,1,1,615.32,405
383,38600.00,32269.00,22,4,339,615.16,406
318,37500.00,18500.00,9,10,737,614.90,407
273,23000.00,44559.00,5,7,807,614.20,408
733,61000.00,125.00,10,1,12,613.03,409
330,43000.00,19127.00,22,5,431,611.85,410
84,55250.00,0.00,4,0,249,602.30,411
806,55700.00,0.00,16,0,212,599.42,412
343,59000.00,0.00,8,0,39,597.81,413
932,37710.00,7231.00,66,1,909,595.12,414
335,27000.00,50000.00,6,3,366,593.20,415
283,44400.00,19400.00,39,3,185,578.04,416
108,46000.00,15000.00,10,1,201,575.21,417
641,44950.00,0.00,32,0,618,573.13,418
965,46000.00,14000.00,4,1,206,571.20,419
334,54470.00,0.00,16,0,108,566.32,420
600,54750.00,0.00,24,0,81,563.72,421
401,25000.00,23000.00,1,2,990,563.00,422
750,44050.00,0.00,23,0,601,560.72,423
753,15000.00,32000.00,2,2,1247,559.40,424
10,41812.00,0.00,21,0,674,552.94,425
904,55000.00,0.00,2,0,10,552.00,426
492,45500.00,0.00,19,0,436,542.22,427
837,42443.00,8000.00,141,1,356,535.77,428
721,27300.00,18000.00,4,2,860,535.00,429
571,29620.00,36263.00,15,5,278,533.13,430
320,50000.00,0.00,5,0,156,531.21,431
979,35000.00,10000.00,7,1,631,526.21,432
797,25000.00,37500.00,5,8,421,521.70,433
298,37000.00,29160.00,3,2,10,517.80,434
567,27750.00,36543.00,22,5,263,512.83,435
700,50700.00,0.00,9,0,23,511.61,436
825,41550.00,14250.00,18,6,90,504.76,437
115,45000.00,9939.00,9,1,19,503.50,438
546,50000.00,0.00,2,0,1,500.20,439
24,44300.00,0.00,21,0,271,497.22,440
649,35000.00,7340.00,7,6,535,493.70,441
402,31900.00,32280.00,7,2,61,492.61,442
532,22261.00,49998.00,27,8,94,491.42,443
822,34000.00,24463.00,6,3,132,488.72,444
509,0.00,88214.00,0,14,235,488.07,445
530,28600.00,39500.00,18,3,14,486.32,446
355,20000.00,43060.00,2,3,332,481.70,447
516,39800.00,16000.00,16,3,16,481.21,448
607,39390.00,0.00,25,0,434,480.73,449
51,39000.00,17900.00,7,1,1,479.71,450
784,32000.00,27000.00,19,10,100,475.01,451
131,43500.00,0.00,19,0,171,469.22,452
233,0.00,44400.00,0,3,1232,468.40,453
525,35664.00,0.00,47,0,530,462.69,454
378,40450.00,10000.00,30,3,40,462.53,455
759,40050.00,4000.00,30,1,209,462.33,456
647,44737.00,0.00,24,0,47,456.79,457
250,0.00,87500.00,0,1,93,456.10,458
347,45002.00,0.00,8,0,25,455.03,459
160,40000.00,0.00,6,0,237,447.41,460
762,22658.00,40682.00,9,4,82,446.40,461
564,21000.00,19843.00,2,3,668,442.82,462
251,33810.00,20000.00,27,2,23,442.73,463
648,17441.00,53399.00,15,7,3,442.01,464
122,37400.00,11000.00,29,2,52,439.43,465
133,19124.00,49300.00,38,8,2,438.17,466
263,22055.00,42206.00,15,3,31,437.79,467
860,42565.00,0.00,26,0,59,437.48,468
783,28752.00,0.00,41,0,729,433.36,469
325,42000.00,0.00,7,0,64,432.81,470
819,20000.00,26000.00,2,4,509,431.80,471
809,32000.00,14500.00,5,2,193,431.10,472
42,34500.00,0.00,6,0,411,427.21,473
768,40000.00,0.00,1,0,124,424.80,474
308,37000.00,10000.00,4,1,6,421.20,475
326,38500.00,0.00,9,0,166,418.21,476
513,41467.00,0.00,33,0,13,417.30,477
399,31000.00,0.00,10,0,532,416.41,478
3,40000.00,0.00,4,0,80,416.00,479
19,27500.00,25500.00,7,2,60,414.51,480
864,39700.00,0.00,13,0,64,409.81,481
313,19000.00,16000.00,7,4,697,409.40,482
971,15000.00,42299.00,3,6,238,409.10,483
167,23700.00,33897.00,32,13,3,407.10,484
666,28500.00,19500.00,4,6,100,402.50,485
951,35000.00,0.00,3,0,257,401.40,486
397,37800.00,2500.00,16,2,54,401.31,487
734,34700.00,0.00,9,0,270,401.01,488
103,39000.00,0.00,36,0,38,397.64,489
144,25000.00,28000.00,1,1,29,395.80,490
875,36411.00,0.00,34,0,145,393.14,491
381,38000.00,2000.00,11,1,15,393.01,492
598,22000.00,26700.00,8,3,170,387.51,493
580,20000.00,24017.00,2,4,335,387.09,494
71,33150.00,1600.00,31,2,190,377.53,495
876,23200.00,0.00,12,0,726,377.21,496
984,36700.00,0.00,7,0,46,376.21,497
329,32000.00,0.00,13,0,276,375.21,498
775,26000.00,10000.00,3,2,320,374.00,499
907,13777.00,44658.00,65,23,57,372.50,500
953,32000.00,0.00,4,0,198,359.60,501
705,35000.00,0.00,5,0,10,352.01,502
995,34500.00,0.00,5,0,20,349.01,503
348,27000.00,10000.00,8,1,135,347.01,504
484,34310.00,0.00,17,0,17,346.52,505
403,20000.00,25000.00,6,2,69,338.80,506
758,20400.00,8000.00,22,2,453,334.62,507
939,32500.00,0.00,17,0,30,331.02,508
952,29000.00,0.00,9,0,201,330.21,509
724,29000.00,0.00,33,0,183,326.63,510
554,18875.00,24852.00,8,4,63,325.61,511
665,32000.00,0.00,6,0,23,324.61,512
361,32300.00,0.00,5,0,4,323.81,513
573,31000.00,0.00,20,0,64,322.82,514
72,25400.00,9791.00,27,3,92,321.38,515
379,29448.00,0.00,75,0,131,320.76,516
529,32000.00,0.00,6,0,2,320.41,517
25,23500.00,17000.00,8,2,1,320.21,518
466,31850.00,0.00,14,0,6,319.71,519
132,23000.00,11083.00,10,1,171,319.62,520
824,12500.00,29100.00,5,5,237,317.90,521
117,30000.00,0.00,3,0,79,315.80,522
676,21100.00,9000.00,16,1,291,314.22,523
934,9501.00,38600.00,5,34,126,313.21,524
161,28390.00,5500.00,13,1,4,312.21,525
430,15500.00,30000.00,8,3,32,311.41,526
287,27000.00,4900.00,6,1,84,311.31,527
113,31000.00,0.00,4,0,4,310.80,528
64,11000.00,38200.00,2,10,42,309.40,529
650,12500.00,36714.00,2,1,3,309.17,530
171,26000.00,0.00,6,0,245,309.01,531
562,23200.00,10000.00,10,1,123,306.61,532
199,28000.00,0.00,6,0,132,306.41,533
867,30000.00,0.00,3,0,17,303.40,534
376,30000.00,0.00,3,0,9,301.80,535
933,11018.00,23500.00,20,2,363,300.30,536
916,22000.00,6954.00,11,3,227,300.18,537
394,28695.00,0.00,17,0,56,298.17,538
801,22500.00,14500.00,6,2,3,298.10,539
286,28000.00,0.00,5,0,75,295.01,540
555,15000.00,11000.00,3,1,445,294.00,541
351,13040.00,31046.00,36,7,31,291.86,542
44,28540.00,500.00,93,1,13,290.59,543
274,23397.00,11000.00,28,1,7,290.40,544
375,5000.00,10000.00,1,1,949,289.80,545
645,23000.00,0.00,5,0,296,289.21,546
944,18600.00,18962.00,50,20,29,286.64,547
479,25500.00,0.00,5,0,153,285.61,548
534,27250.00,0.00,10,0,24,277.31,549
213,18000.00,13700.00,2,2,142,276.90,550
367,25500.00,0.00,34,0,75,270.03,551
54,26000.00,0.00,4,0,43,268.60,552
536,1740.00,48740.00,19,14,36,268.31,553
679,12000.00,11000.00,4,1,465,268.00,554
550,10000.00,22500.00,1,3,272,266.90,555
440,10140.00,30600.00,6,9,58,266.00,556
898,12000.00,25063.00,6,5,85,262.32,557
664,5055.00,40700.00,2,7,41,262.25,558
685,26000.00,0.00,8,0,9,261.81,559
964,25600.00,0.00,6,0,19,259.81,560
620,15000.00,6000.00,3,1,392,258.40,561
877,20000.00,0.00,2,0,285,257.00,562
419,0.00,45000.00,0,2,157,256.40,563
811,21839.00,0.00,17,0,178,254.01,564
451,20000.00,0.00,4,0,270,254.00,565
896,25000.00,0.00,3,0,16,253.20,566
627,12000.00,19671.00,3,3,169,252.16,567
900,15155.00,18500.00,36,3,37,251.48,568
268,25000.00,0.00,3,0,3,250.60,569
391,0.00,0.00,0,0,1252,250.40,570
